category,source,copy,sha256,bytes,status,adaptation_notes
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\__init__.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\__init__.py,196466b5894c33fecc604abdf005bce5e40b500fecc50dd1f07e957e47d7dcea,15,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\chart_generator.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\chart_generator.py,851462fb27aae3a657d382d5e51ab15dfc0a198179ba6de35e1836fa0f5afd25,19534,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\content_db.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\content_db.py,207d66fad09df5306fe41249ca963d87a428b069b5e2964fd69c24c34e59b1a8,28752,REFERENCE_ONLY_NOT_RUN,machine-specific path references
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\definition_paths.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\definition_paths.py,64c8903dac83b988069bd5f2ddbf02d940e35036cd698be57c487a9acefbf7fb,3045,REFERENCE_ONLY_NOT_RUN,Review dependencies and inputs before enabling
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\external_linker.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\external_linker.py,c624ace9eab407bb5d450382e7af5f7e46617ec06b3b99cad092e3638e86199f,27646,REFERENCE_ONLY_NOT_RUN,writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\footnote_system.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\footnote_system.py,4f2395841d22e4714733fa0a3da3ba6447d8902f7fb2fbdd17518b8bfcd0d4a4,6813,REFERENCE_ONLY_NOT_RUN,writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\global_analytics_aggregator.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\global_analytics_aggregator.py,39eb582f68687788565498ec2b01732dda593915ba4c6b6f34747e6b7f274d2a,10047,REFERENCE_ONLY_NOT_RUN,writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\html_dashboard_generator.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\html_dashboard_generator.py,4b27da6d0323a5dfd7353cc2db09210d7a359f34bf49e548eec35f2f365f9bb7,25176,REFERENCE_ONLY_NOT_RUN,writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\insight_analyzer.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\insight_analyzer.py,2b87371c710ef77ca801468b0827f856a7bafd3896422093c9ccf8bcbaf62ea9,32166,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
Obsidian_and_Documents,Z:\_Theophysics_v3\00_SYSTEM\01_ENGINE\01_ENGINE\core\lexicon_engine.py,Obsidian_and_Documents\01_ENGINE\01_ENGINE\core\lexicon_engine.py,d190e275c432527f2f072813e65b9f700d5aaa3785f88bf2a13986121b832aed,33698,REFERENCE_ONLY_NOT_RUN,machine-specific path references; writes files; check overwrite behavior
